#TYPE Microsoft.Open.AzureAD.Model.OAuth2Permission
"AdminConsentDescription","AdminConsentDisplayName","Id","IsEnabled","Type","UserConsentDescription","UserConsentDisplayName","Value"
"Allows the app to create, read, update, and delete contacts a user has permissions to, including their own and shared contacts.","Read and write user and shared contacts","58e15261-dfce-4dbd-b1a9-6a513ccf39cd","True","User","Allows the app to read, update, create, and delete contacts you have permissions to access, including your own and shared contacts.","Read and write to your and shared contacts","Contacts.ReadWrite.Shared"
"Allows the app to read contacts a user has permissions to access, including their own and shared contacts.","Read user and shared contacts","c8ee694a-ac5f-44eb-9487-f4fea3a6538d","True","User","Allows the app to read contacts you have permissions to access, including your own and shared contacts.","Read your and shared contacts","Contacts.Read.Shared"
"Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars.","Read and write user and shared calendars","9e044dd2-b119-478e-8b0c-3143ff864625","True","User","Allows the app to read, update, create and delete events in all calendars in your organization you have permissions to access. This includes delegate and shared calendars.","Read and write to your and shared calendars","Calendars.ReadWrite.Shared"
"Allows the app to read events in all calendars that the user can access, including delegate and shared calendars.","Read user and shared calendars","f1731364-f498-453c-a95f-c57fdbeff4f1","True","User","Allows the app to read events in all calendars that you can access, including delegate and shared calendars.","Read calendars?you can access","Calendars.Read.Shared"
"Allows the app to send mail as the signed-in user, including sending on-behalf of others.","Send mail on behalf of others","2bf44396-38c4-4826-813f-75074b46a125","True","User","Allows the app to send mail as you or on-behalf of someone else.","Send mail on behalf of others or yourself","Mail.Send.Shared"
"Allows the app to create, read, update, and delete mail a user has permission to access, including their own and shared mail. Does not include permission to send mail.","Read and write user and shared mail","0772b0b8-18f9-4412-a1dc-cdbb000727fa","True","User","Allows the app to read, update, create, and delete mail you have permission to access, including your own and shared mail. Does not allow the app to send mail on your behalf.","Read and write mail?you can access","Mail.ReadWrite.Shared"
"Allows the app to read mail a user can access, including their own and shared mail.","Read user and shared mail","07382180-f05b-4f94-8e51-02736bd78f14","True","User","Allows the app to read mail you can access, including shared mail.","Read mail you can access","Mail.Read.Shared"
"Allows users to sign-in to the app, and allows the app to read the profile of signed-in users. It also allows the app to read basic company information of signed-in users.","Sign in and read user profile","e1fe6dd8-ba31-4d61-89e7-88639da4683d","True","User","Allows you to sign in to the app with your organizational account and let the app read your profile. It also allows the app to read basic company information.","Sign you in and read your profile","User.Read"
"Allows the app to read your profile. It also allows the app to update your profile information on your behalf.","Read and write access to user profile","b4e74841-8e56-480b-be8b-910348b18b4c","True","User","Allows the app to read your profile, and discover your group membership, reports and manager. It also allows the app to update your profile information on your behalf.","Read and update your profile","User.ReadWrite"
"Allows the app to read a basic set of profile properties of other users in your organization on behalf of the signed-in user. This includes display name, first and last name, email address and photo.","Read all users' basic profiles","b340eb25-3456-403f-be2f-af7a0d370277","True","User","Allows the app to read a basic set of profile properties of other users in your organization on your behalf. Includes display name, first and last name, email address and photo.","Read all users' basic profiles","User.ReadBasic.All"
"Allows the app to read the full set of profile properties, reports, and managers of other users in your organization, on behalf of the signed-in user.","Read all users' full profiles","a154be20-db9c-4678-8ab7-66f6cc099a59","True","Admin","Allows the app to read the full set of profile properties, reports, and managers of other users in your organization, on your behalf.","Read all users' full profiles","User.Read.All"
"Allows the app to read and write the full set of profile properties, reports, and managers of other users in your organization, on behalf of the signed-in user.","Read and write all users' full profiles","204e0828-b5ca-4ad8-b9f3-f32a958e7cc4","True","Admin","Allows the app to read and write the full set of profile properties, reports, and managers of other users in your organization, on your behalf.","Read and write all users' full profiles","User.ReadWrite.All"
"Allows the app to list groups, and to read their properties and all group memberships on behalf of the signed-in user.  Also allows the app to read calendar, conversations, files, and other group content for all groups the signed-in user can access. ","Read all groups","5f8c59db-677d-491f-a6b8-5f174b11ec1d","True","Admin","Allows the app to list groups, and to read their properties and all group memberships on your behalf.  Also allows the app to read calendar, conversations, files, and other group content for all groups you can access.  ","Read all groups","Group.Read.All"
"Allows the app to create groups and read all group properties and memberships on behalf of the signed-in user.  Additionally allows group owners to manage their groups and allows group members to update group content.","Read and write all groups","4e46008b-f24c-477d-8fff-7bb4ec7aafe0","True","Admin","Allows the app to create groups and read all group properties and memberships on your behalf.  Additionally allows the app to manage your groups and to update group content for groups you are a member of.","Read and write all groups","Group.ReadWrite.All"
"Allows the app to read data in your organization's directory, such as users, groups and apps.","Read directory data","06da0dbc-49e2-44d2-8312-53f166ab848a","True","Admin","Allows the app to read data in your organization's directory.","Read directory data","Directory.Read.All"
"Allows the app to read and write data in your organization's directory, such as users, and groups.  It does not allow the app to delete users or groups, or reset user passwords.","Read and write directory data","c5366453-9fb0-48a5-a156-24f0c49a4b84","True","Admin","Allows the app to read and write data in your organization's directory, such as other users, groups.  It does not allow the app to delete users or groups, or reset user passwords.","Read and write directory data","Directory.ReadWrite.All"
"Allows the app to have the same access to information in the directory as the signed-in user.","Access directory as the signed in user","0e263e50-5827-48a4-b97c-d940288653c7","True","Admin","Allows the app to have the same access to information in your work or school directory as you do.","Access the directory as you","Directory.AccessAsUser.All"
"Allows the app to read email in user mailboxes. ","Read user mail ","570282fd-fa5c-430d-a7fd-fc8dc98a9dca","True","User","Allows the app to read email in your mailbox. ","Read your mail ","Mail.Read"
"Allows the app to create, read, update, and delete email in user mailboxes. Does not include permission to send mail. ","Read and write access to user mail ","024d486e-b451-40bb-833d-3e66d98c5c73","True","User","Allows the app to read, update, create and delete email in your mailbox. Does not include permission to send mail. ","Read and write access to your mail ","Mail.ReadWrite"
"Allows the app to send mail as users in the organization. ","Send mail as a user ","e383f46e-2787-4529-855e-0e479a3ffac0","True","User","Allows the app to send mail as you. ","Send mail as you ","Mail.Send"
"Allows the app to read events in user calendars . ","Read user calendars ","465a38f9-76ea-45b9-9f34-9e8b0d4b0b42","True","User","Allows the app to read events in your calendars. ","Read your calendars ","Calendars.Read"
"Allows the app to create, read, update, and delete events in user calendars. ","Have full access to user calendars ","1ec239c2-d7c9-4623-a91a-a9775856bb36","True","User","Allows the app to read, update, create and delete events in your calendars. ","Have full access to your calendars  ","Calendars.ReadWrite"
"Allows the app to read user contacts.  ","Read user contacts ","ff74d97f-43af-4b68-9f2a-b77ee6968c5d","True","User","Allows the app to read contacts in your contact folders. ","Read your contacts ","Contacts.Read"
"Allows the app to create, read, update, and delete user contacts. ","Have full access to user contacts ","d56682ec-c09e-4743-aaf4-1a3aac4caa21","True","User","Allows the app to read, update, create and delete contacts in your contact folders. ","Have full access of your contacts ","Contacts.ReadWrite"
"Allows the app to read the signed-in user's files and files shared with the user.","Read user files and files shared with user","10465720-29dd-4523-a11a-6a75c743c9d9","True","User","Allows the app to read your files and files shared with you.","Read your files and files shared with you","Files.Read"
"Allows the app to read, create, update and delete the signed-in user's files and files shared with the user.","Have full access to user files and files shared with user","5c28f0bf-8a70-41f1-8ab2-9032436ddb65","True","User","Allows the app to read, create, update, and delete your files and files shared with you.","Have full access to your files and files shared with you","Files.ReadWrite"
"Allows the app to read, create, update and delete files in the application's folder.","Have full access to the application's folder","8019c312-3263-48e6-825e-2b833497195b","True","User","Allows the app to read, create, update and delete files in the application's folder.","Have full access to the application's folder","Files.ReadWrite.AppFolder"
"Allows the app to read and write files that the user selects. The app has access for several hours after the user selects a file.","Read and write files that the user selects","17dde5bd-8c17-420f-a486-969730c1b827","True","User","Allows the app to read and write files that you select. After you select a file, the app has access to the file for several hours.","Read and write selected files","Files.ReadWrite.Selected"
"Allows the app to read files that the user selects. The app has access for several hours after the user selects a file.","Read files that the user selects","5447fe39-cb82-4c1a-b977-520e67e724eb","True","User","Allows the app to read files that you select. After you select a file, the app has access to the file for several hours.","Read selected files","Files.Read.Selected"
"Allows the application to read documents and list  items in all site collections on behalf of the signed-in user","Read items in all site collections","205e70e5-aba6-4c52-a976-6d2d46c48043","True","User","Allow the application to read documents and list items in all site collections on your behalf","Read items in all site collections","Sites.Read.All"
